"","SEG_LENGTH","ROUTENAME","SEGMDIR","FUNCCLASSI","SURFNAME","SURFWD","PSI","THRULNQTY","THRULNWD","AADT","AADTDERIV","RUNLENGTH_","RUNLENGTH1","id"
"149",0.32,"E CHERRY CREEK NORTH DR","SE","4  Minor Arterial","1    Asphalt",28,4,2,10,9200,3,0.28,0.6,912
"150",0.08,"N TEJON ST","N","5  Major Collector","1    Asphalt",44,2.5,2,10,4800,3,0.17,0.25,3428
"151",0.06,"E 23RD AVE","E","4  Minor Arterial","1    Asphalt",48,4,3,10,11000,3,3.33,3.39,2178
"152",0.08,"E MISSISSIPPI AVE","NE","3  Principal Arterial - Other","3    Concrete",60,4,6,11,21000,0,0.12,0.2,6493
"153",0.05,"E 51ST AVE","E","5  Major Collector","1    Asphalt",82,4,2,10,8700,3,1.03,1.08,5932
"154",0.04,"W 44TH AVE","W","5  Major Collector","1    Asphalt",40,4,2,10,7800,3,0.6,0.64,4455
"155",0.06,"E 14TH AVE","E","4  Minor Arterial","1    Asphalt",36,4,3,10,8400,1,3.93,3.99,2153
"156",0.02,"AURARIA PKWY","NE","3  Principal Arterial - Other","1    Asphalt",44,1,3,10,32000,3,0,0.02,1148
"157",0.09,"N WILLIAMS ST","N","5  Major Collector","1    Asphalt",40,4,2,10,920,3,0.63,0.72,6138
"158",0.04,"E 8TH AVE","E","3  Principal Arterial - Other","1    Asphalt",36,4,3,12,17000,3,0.76,0.8,1101
"159",0.02,"W 14TH AVE","W","4  Minor Arterial","1    Asphalt",36,4,3,10,6600,1,0.51,0.53,1242
"160",0.07,"W DARTMOUTH AVE","W","5  Major Collector","1    Asphalt",48,4,2,12,12000,1,2.67,2.74,3682
"161",0.1,"N HAVANA ST","N","4  Minor Arterial","1    Asphalt",72,4,4,12,9500,3,2.41,2.51,1218
"162",0.07,"N FOX ST","N","5  Major Collector","1    Asphalt",32,2.5,2,12,10000,3,0.26,0.33,4115
"163",0.05,"N SPEER BLVD","NW","3  Principal Arterial - Other","1    Asphalt",72,4,6,10,31000,0,0.15,0.2,273
"164",0.1,"E 56TH AVE","E","3  Principal Arterial - Other","1    Asphalt",24,4,2,12,20000,4,0,0.1,418
"165",0.06,"E 35TH AVE","E","5  Major Collector","1    Asphalt",34,4,2,11,4700,3,2.91,2.97,6091
"166",0.12,"S TEJON ST","S","5  Major Collector","1    Asphalt",36,4,2,10,1900,3,0.4,0.52,5663
"167",0.06,"E 14TH AVE","E","4  Minor Arterial","1    Asphalt",36,4,3,10,8700,1,2.03,2.09,867
"168",0.06,"E LOUISIANA AVE","E","5  Major Collector","1    Asphalt",48,4,2,10,3700,3,1.01,1.07,4782
"169",0.09,"S XENIA ST","S","5  Major Collector","1    Asphalt",36,4,2,11,930,3,0,0.09,4499
"170",0.06,"W JEWELL AVE","W","5  Major Collector","1    Asphalt",48,1,2,10,6400,1,1.1,1.16,3821
"171",0.03,"N WASHINGTON ST","N","3  Principal Arterial - Other","1    Asphalt",40,4,4,10,22000,0,0.31,0.34,1611
"172",0.1,"E 75TH AVE","E","5  Major Collector","1    Asphalt",30,2.5,2,12,8700,2,2.24,2.34,5136
"173",0.07,"18TH ST","NW","5  Major Collector","1    Asphalt",52,4,3,10,3000,0,0.71,0.78,5160
"174",0.09,"E DARTMOUTH AVE","NE","5  Major Collector","1    Asphalt",44,1,2,12,4000,3,0.26,0.35,5897
"175",0.04,"E 8TH AVE","E","3  Principal Arterial - Other","1    Asphalt",36,4,3,11,20000,3,1.5,1.54,818
"176",0.08,"N TOWER RD","N","4  Minor Arterial","1    Asphalt",36,2.5,2,10,17000,4,1.34,1.42,2652
"177",0.07,"W 13TH AVE","W","5  Major Collector","1    Asphalt",36,4,3,10,7900,1,0.76,0.83,4730
"178",0.06,"S LINCOLN ST","S","3  Principal Arterial - Other","1    Asphalt",44,1,4,10,23000,0,0.21,0.27,664
"179",0.07,"17TH ST","NW","4  Minor Arterial","1    Asphalt",66,1,4,10,5200,0,0.2,0.27,3210
"180",0.04,"N SPEER BLVD","NW","3  Principal Arterial - Other","1    Asphalt",44,4,4,10,22000,4,1.66,1.7,719
"181",0.04,"N LINCOLN ST","N","3  Principal Arterial - Other","1    Asphalt",72,4,4,10,21000,1,1.8,1.84,500
"182",0.03,"E SMITH RD","E","4  Minor Arterial","1    Asphalt",44,1,2,10,5800,3,1.89,1.92,3045
"183",0.03,"E 13TH AVE","E","4  Minor Arterial","1    Asphalt",32,4,2,10,6900,3,3.96,3.99,2809
"184",0.03,"GREEN VALLEY RANCH BLVD","E","4  Minor Arterial","1    Asphalt",26,2.5,2,12,11000,2,0.6,0.63,6373
"185",0.05,"N MONACO STREET PKWY","N","3  Principal Arterial - Other","1    Asphalt",44,4,4,10,35000,3,0.2,0.25,423
"186",0.09,"N PEORIA ST","N","3  Principal Arterial - Other","1    Asphalt",48,4,4,12,40000,3,0.11,0.2,421
"187",0.08,"N PECOS ST","N","4  Minor Arterial","1    Asphalt",34,4,2,10,14000,3,0.65,0.73,989
