"","SEG_LENGTH","ROUTENAME","SEGMDIR","FUNCCLASSI","SURFNAME","SURFWD","PSI","IRI","THRULNQTY","THRULNWD","AADT","AADTDERIV","COUNTSTATI","BUILTYR","RUNLENGTH_","RUNLENGTH1"
"624",0.1,"N HAVANA WAY","W","3  Principal Arterial - Other","1    Asphalt",28,4,190,2,10,7600,0,203017,1995,0.3,0.4
"632",0.03,"S BROADWAY","S","3  Principal Arterial - Other","1    Asphalt",62,2.5,119,6,10,37000,1,901089,1995,1.2,1.23
"639",0.03,"N SPEER BLVD","NW","3  Principal Arterial - Other","1    Asphalt",44,4,120,4,10,25000,1,202031,1995,0.77,0.8
"641",0.06,"N MONACO STREET PKWY","N","3  Principal Arterial - Other","1    Asphalt",44,4,235,4,10,35000,3,107744,1995,0.4,0.46
"642",0.08,"E SPEER BLVD","SE","3  Principal Arterial - Other","1    Asphalt",44,4,155,4,10,26000,2,900118,1995,0.4,0.48
"655",0.05,"W ALAMEDA AVE","W","3  Principal Arterial - Other","1    Asphalt",52,4,138,4,10,28000,1,201938,1995,0.3,0.35
"659",0.02,"N QUEBEC ST","N","2  Principal Arterial - Fwys and Expwys","1    Asphalt",33,1,149,8,10,45000,0,202077,1995,3.18,3.2
"671",0.03,"S UNIVERSITY BLVD","S","3  Principal Arterial - Other","1    Asphalt",44,4,243,4,10,40000,1,107772,1995,0.1,0.13
"673",0.045,"N MONACO STREET PKWY","N","3  Principal Arterial - Other","1    Asphalt",154,4,148,4,10,30000,3,202096,1995,2.155,2.2
"674",0.1,"E EVANS AVE","E","3  Principal Arterial - Other","1    Asphalt",48,4,235,4,10,53000,4,901106,1995,3,3.1
"680",0.03,"S BROADWAY","S","3  Principal Arterial - Other","1    Asphalt",62,2.5,151,5,10,29000,0,202073,1995,0.7,0.73
"683",0.015,"N SPEER BLVD","NW","3  Principal Arterial - Other","1    Asphalt",44,4,145,4,10,25000,1,202031,1995,0.5,0.515
"695",0.01,"W 6TH AVENUE FWY","W","3  Principal Arterial - Other","1    Asphalt",76,1,89,6,12,66000,3,900003,1995,0.19,0.2
"707",0.01,"E MARTIN LUTHER KING BLVD","E","3  Principal Arterial - Other","1    Asphalt",34,2.5,390,2,10,8100,3,106744,1995,0.59,0.6
"712",0.07,"N SPEER BLVD","NW","3  Principal Arterial - Other","1    Asphalt",44,4,336,4,10,22000,4,107768,1995,1.53,1.6
"714",0.05,"N MONACO STREET PKWY","N","3  Principal Arterial - Other","1    Asphalt",130,4,118,4,10,33000,3,107746,1995,0.75,0.8
