"","SEG_LENGTH","ROUTENAME","SEGMDIR","FUNCCLASSI","SURFNAME","SURFWD","PSI","THRULNQTY","THRULNWD","AADT","AADTDERIV","RUNLENGTH_","RUNLENGTH1","id"
"93",0.04,"E MARTIN LUTHER KING BLVD","E","3  Principal Arterial - Other","1    Asphalt",34,2.5,2,10,8100,3,0.46,0.5,438
"94",0.04,"N MONACO STREET PKWY","N","3  Principal Arterial - Other","1    Asphalt",130,4,4,10,33000,3,1.1,1.14,440
"95",0.06,"N HAVANA WAY","NW","3  Principal Arterial - Other","1    Asphalt",28,4,2,10,7600,0,0.6,0.66,444
"96",0.07,"E SPEER BLVD","E","3  Principal Arterial - Other","1    Asphalt",20,4,8,10,26000,2,0.5,0.57,449
"97",0.01,"N LINCOLN ST","N","3  Principal Arterial - Other","1    Asphalt",62,2.5,4,10,27000,1,1.5,1.51,466
"98",0.06,"E MARTIN LUTHER KING JR BLVD","E","3  Principal Arterial - Other","1    Asphalt",68,4,4,12,20000,3,0.14,0.2,468
"99",0.06,"E EVANS AVE","E","3  Principal Arterial - Other","1    Asphalt",48,4,4,10,29000,0,0.91,0.97,471
"100",0.06,"S BROADWAY","S","3  Principal Arterial - Other","1    Asphalt",62,2.5,5,10,24000,1,0.24,0.3,472
"101",0.086,"E 56TH AVE","E","3  Principal Arterial - Other","1    Asphalt",32,4,2,10,19000,2,2.9,2.986,473
"102",0.08,"E WALSH PL","S","3  Principal Arterial - Other","1    Asphalt",36,2.5,3,10,13000,1,0,0.08,475
"103",0.04,"E 1ST AVE","E","3  Principal Arterial - Other","1    Asphalt",36,4,3,12,52000,0,0.1,0.14,489
"104",0.06,"N SPEER BLVD","NW","3  Principal Arterial - Other","1    Asphalt",56,4,4,10,21000,4,1.24,1.3,495
"105",0.03,"E EVANS AVE","E","3  Principal Arterial - Other","1    Asphalt",48,4,4,10,29000,0,1,1.03,496
"106",0.07,"N KALAMATH ST","N","3  Principal Arterial - Other","1    Asphalt",52,4,5,10,39000,1,0.93,1,508
"107",0.1,"S UNIVERSITY BLVD","S","3  Principal Arterial - Other","1    Asphalt",48,4,4,10,23000,1,3.1,3.2,509
"108",0.01,"S UNIVERSITY BLVD","S","3  Principal Arterial - Other","1    Asphalt",44,4,4,10,37000,0,1.79,1.8,515
"109",0.1,"E 56TH AVE","E","3  Principal Arterial - Other","1    Asphalt",32,4,2,10,24000,2,1.3,1.4,528
"110",0.03,"S BROADWAY","S","3  Principal Arterial - Other","1    Asphalt",62,2.5,5,10,29000,0,0.37,0.4,539
"111",0.08,"N MONACO STREET PKWY","N","3  Principal Arterial - Other","1    Asphalt",130,4,4,10,33000,3,1.2,1.28,545
"112",0.1,"S BROADWAY","S","3  Principal Arterial - Other","1    Asphalt",62,2.5,4,10,27000,1,3.1,3.2,551
"113",0.06,"E 1ST AVE","E","3  Principal Arterial - Other","1    Asphalt",62,4,6,10,41000,1,1.14,1.2,555
"114",0.026,"E 56TH AVE","E","3  Principal Arterial - Other","1    Asphalt",58,4,2,10,24000,2,1.2,1.226,567
"115",0.09,"N LINCOLN ST","N","3  Principal Arterial - Other","1    Asphalt",72,4,4,10,21000,1,2.04,2.13,577
"116",0.02,"E MARTIN LUTHER KING JR BLVD","E","3  Principal Arterial - Other","1    Asphalt",68,4,4,12,20000,3,0.28,0.3,578
"117",0.06,"E EVANS AVE","E","3  Principal Arterial - Other","1    Asphalt",52,4,4,10,29000,0,1.54,1.6,595
"118",0.06,"N SPEER BLVD","NW","3  Principal Arterial - Other","1    Asphalt",40,1,7,12,31000,3,0.4,0.46,600
"119",0.02,"N PEORIA ST","N","3  Principal Arterial - Other","1    Asphalt",84,2.5,6,11,10000,0,0.98,1,625
"120",0.05,"E MARTIN LUTHER KING BLVD","E","3  Principal Arterial - Other","1    Asphalt",34,2.5,2,10,8100,3,0.25,0.3,631
"121",0.04,"S UNIVERSITY BLVD","S","3  Principal Arterial - Other","1    Asphalt",52,4,4,10,29000,0,2.36,2.4,638
"122",0.03,"N FOX ST","N","3  Principal Arterial - Other","1    Asphalt",66,1,4,10,20000,4,0,0.03,639
"123",0.09,"S LINCOLN ST","S","3  Principal Arterial - Other","1    Asphalt",44,1,4,10,23000,0,0.37,0.46,645
"124",0.02,"E OHIO AVE","E","3  Principal Arterial - Other","1    Asphalt",24,4,2,10,8600,2,0,0.02,652
"125",0.06,"E EVANS AVE","E","3  Principal Arterial - Other","1    Asphalt",52,4,4,10,29000,0,1.8,1.86,685
